care/NN/dobj	353
in/IN/prep time/NN/pobj	353
control/NN/dobj	352
to/TO/prep people/NNS/pobj	352
in/IN/prep direction/NN/pobj	352
to/TO/prep chance/NN/pobj	350
to/TO/prep will/NN/pobj	349
for/IN/prep position/NN/pobj	347
conception/NN/dobj	347
camp/NN/dobj	341
through/IN/prep part/NN/pobj	341
desk/NN/dobj	340
sense/NN/dobj	337
to/TO/prep thoughts/NNS/pobj	337
by/IN/prep command/NN/pobj	336
by/IN/prep army/NN/pobj	334
interpretation/NN/dobj	334
to/TO/prep beasts/NNS/pobj	333
on/IN/prep approach/NN/pobj	333
access/NN/dobj	333
to/TO/prep nurses/NNS/pobj	332
to/TO/prep hands/NNS/pobj	332
for/IN/prep purpose/NN/pobj	332
strategy/NN/dobj	332
in/IN/prep measure/NN/pobj	331
march/NN/dobj	331
to/TO/prep control/NN/pobj	330
without/IN/prep losing/VBG/pcomp	330
with/IN/prep hope/NN/pobj	329
in/IN/prep part/NN/pobj	328
without/IN/prep reason/NN/pobj	328
to/TO/prep resentment/NN/pobj	327
tax/NN/dobj	326
under/IN/prep pressure/NN/pobj	324
to/TO/prep impetuosity/NN/pobj	324
to/TO/prep clemency/NN/pobj	322
master/NN/dobj	319
to/TO/prep use/NN/pobj	318
exercise/NN/dobj	318
to/TO/prep despair/NN/pobj	316
without/IN/prep redress/NN/pobj	316
invasion/NN/dobj	316
to/TO/prep horrors/NNS/pobj	315
in/IN/prep course/NN/pobj	315
in/IN/prep year/NN/pobj	314
to/TO/prep those/DT/pobj	314
standpoint/NN/dobj	314
to/TO/prep joy/NN/pobj	312
chase/NN/dobj	312
to/TO/prep passions/NNS/pobj	312
democracy/NN/dobj	311
as/IN/prep place/NN/pobj	311
word/NN/dobj	310
in/IN/prep consequence/NN/pobj	310
name/NN/dobj	310
for/IN/prep want/NN/pobj	310
journey/NN/dobj	309
at/IN/prep end/NN/pobj	308
to/TO/prep sufferers/NNS/pobj	308
view/NN/dobj	308
in/IN/prep country/NN/pobj	308
as/IN/prep condition/NN/pobj	308
to/TO/prep evils/NNS/pobj	306
without/IN/prep breeding/NN/pobj	306
of/IN/prep horse/NN/pobj	303
to/TO/prep misery/NN/pobj	302
to/TO/prep darts/NNS/pobj	302
to/TO/prep mistress/NN/pobj	300
for/IN/prep policy/NN/pobj	300
for/IN/prep reason/NN/pobj	300
artillery/NN/dobj	296
philosophy/NN/dobj	296
for/IN/prep year/NN/pobj	294
subject/NN/dobj	294
by/IN/prep officers/NNS/pobj	292
from/IN/prep want/NN/pobj	291
education/NN/dobj	290
conduct/NN/dobj	288
administration/NN/dobj	288
to/TO/prep impulse/NN/pobj	287
by/IN/prep majority/NN/pobj	286
according/VBG/prep to/TO/dep	286
by/IN/prep republics/NNS/pobj	285
progeny/NN/dobj	285
baggage/NN/dobj	283
for/IN/prep life/NN/pobj	283
speculation/NN/dobj	282
resolution/NN/dobj	281
object/NN/dobj	281
to/TO/prep women/NNS/pobj	281
rule/NN/dobj	278
conquest/NN/dobj	278
by/IN/prep consent/NN/pobj	277
in/IN/prep years/NNS/pobj	275
except/IN/prep one/CD/pobj	275
with/IN/prep appetite/NN/pobj	275
possession/NN/dobj	274
verse/NN/dobj	274
assumption/NN/dobj	273
love/NN/dobj	273
for/IN/prep sum/NN/pobj	271
to/TO/prep devices/NNS/pobj	271
to/TO/prep phrenzy/NN/pobj	270
spot/NN/dobj	270
to/TO/prep tribes/NNS/pobj	269
with/IN/prep exception/NN/pobj	268
dwelling/NN/dobj	267
on/IN/prep outskirts/NNS/pobj	266
trick/NN/dobj	266
to/TO/prep impulses/NNS/pobj	265
for/IN/prep moment/NN/pobj	265
in/IN/prep extremity/NN/pobj	263
before/IN/prep arrival/NN/pobj	263
trip/NN/dobj	262
movement/NN/dobj	262
by/IN/prep owners/NNS/pobj	261
to/TO/prep vengeance/NN/pobj	261
after/IN/prep lost/VBN/pcomp	261
program/NN/dobj	261
to/TO/prep company/NN/pobj	260
at/IN/prep sight/NN/pobj	260
by/IN/prep any/DT/pobj	260
for/IN/prep ones/NNS/pobj	259
in/IN/prep hope/NN/pobj	258
in/IN/prep moment/NN/pobj	258
to/TO/prep terrors/NNS/pobj	257
expectation/NN/dobj	257
as/IN/prep before/IN/dep	256
liberty/NN/dobj	256
to/TO/prep barbarians/NNS/pobj	256
show/NN/dobj	256
soil/NN/dobj	256
to/TO/prep discretion/NN/pobj	255
in/IN/prep corner/NN/pobj	255
commerce/NN/dobj	254
to/TO/prep vices/NNS/pobj	253
for/IN/prep beds/NNS/pobj	253
for/IN/prep reasons/NNS/pobj	252
number/NN/dobj	251
as/IN/prep attempt/NN/pobj	250
patrimony/NN/dobj	250
for/IN/prep criticism/NN/pobj	250
to/TO/prep adventurer/NN/pobj	250
as/IN/prep to/TO/dep	250
atmosphere/NN/dobj	250
relation/NN/dobj	250
to/TO/prep manner/NN/pobj	250
on/IN/prep reach/NN/pobj	250
against/IN/prep neglect/NN/pobj	248
truth/NN/dobj	248
to/TO/prep license/NN/pobj	248
to/TO/prep danger/NN/pobj	247
privilege/NN/dobj	247
without/IN/prep loss/NN/pobj	246
with/IN/prep remorse/NN/pobj	246
to/TO/prep paroxysms/NNS/pobj	246
approach/NN/dobj	245
confidence/NN/dobj	245
worship/NN/dobj	243
in/IN/prep obedience/NN/pobj	243
station/NN/dobj	242
magistracy/NN/dobj	242
for/IN/prep fear/NN/pobj	241
turn/NN/conj	241
quitter/NN/ccomp	240
to/TO/prep arm/NN/pobj	238
descendant/NN/dobj	238
child/NN/dobj	238
capital/NN/dobj	237
treatment/NN/dobj	237
after/IN/prep publication/NN/pobj	237
in/IN/prep state/NN/pobj	236
organization/NN/dobj	236
tree/NN/dobj	236
voyage/NN/dobj	236
culture/NN/dobj	235
to/TO/prep life/NN/pobj	235
except/IN/prep will/NN/pobj	235
guide/NN/dobj	234
animal/NN/dobj	233
in/IN/prep days/NNS/pobj	233
in/IN/prep countries/NNS/pobj	232
route/NN/dobj	231
to/TO/prep state/NN/pobj	230
to/TO/prep tyrant/NN/pobj	230
woman/NN/dobj	230
measure/NN/dobj	229
offspring/NN/dobj	228
with/IN/prep nuns/NNS/pobj	228
territory/NN/dobj	228
by/IN/prep government/NN/pobj	228
citizenship/NN/dobj	227
to/TO/prep emotions/NNS/pobj	227
to/TO/prep mob/NN/pobj	227
of/IN/prep aim/NN/pobj	226
with/IN/prep reluctance/NN/pobj	225
as/IN/prep result/NN/pobj	225
investigation/NN/dobj	224
campaign/NN/dobj	223
in/IN/prep return/NN/pobj	223
to/TO/prep chatillon/NNP/pobj	222
bank/NN/dobj	222
support/NN/dobj	222
protection/NN/dobj	222
helm/NN/dobj	221
experience/NN/dobj	221
for/IN/prep state/NN/pobj	220
order/NN/dobj	218
to/TO/prep cogitations/NNS/pobj	218
to/TO/prep sense/NN/pobj	217
hold/NN/dobj	216
instrument/NN/dobj	215
for/IN/prep style/NN/pobj	214
army/NN/dobj	214
to/TO/prep convocations/NNS/pobj	214
without/IN/prep reserve/NN/pobj	213
to/TO/prep delights/NNS/pobj	212
as/IN/prep source/NN/pobj	212
visit/NN/dobj	211
in/IN/prep age/NN/pobj	210
for/IN/prep escape/VBP/pcomp	210
poetry/NN/dobj	210
to/TO/prep musings/NNS/pobj	209
appeal/NN/dobj	208
jot/NN/dobj	208
quest/NN/dobj	208
emphasis/NN/dobj	207
constitution/NN/dobj	207
except/IN/prep for/IN/dep	207
for/IN/prep service/NN/pobj	206
to/TO/prep extent/NN/pobj	206
in/IN/prep despair/NN/pobj	206
without/IN/prep effort/NN/pobj	206
to/TO/prep rages/NNS/pobj	206
machine/NN/dobj	205
at/IN/prep town/NN/pobj	203
unwillingness/NN/conj	202
by/IN/prep opinion/NN/pobj	202
to/TO/prep forces/NNS/pobj	201
as/IN/prep failure/NN/pobj	200
cannon/NN/dobj	200
to/TO/prep faction/NN/pobj	200
fleet/NN/dobj	199
in/IN/prep september/NNP/pobj	198
as/IN/prep groan/NN/pobj	198
for/IN/prep motifs/NNS/pobj	198
to/TO/prep rankness/NN/pobj	198
in/IN/prep front/NNP/pobj	196
to/TO/prep lust/NN/pobj	196
for/IN/prep luxury/NN/pobj	196
by/IN/prep friends/NNS/pobj	196
for/IN/prep agony/NN/pobj	195
for/IN/prep system/NN/pobj	195
on/IN/prep side/NN/pobj	194
with/IN/prep haste/NN/pobj	194
legend/NN/dobj	193
direction/NN/dobj	193
with/IN/prep deals/NNS/pobj	192
chorus/NN/dobj	191
for/IN/prep one/NN/pobj	190
to/TO/prep ferdinand/NNP/pobj	190
calling/NN/dobj	190
girl/NN/dobj	190
in/IN/prep stage/NN/pobj	190
colony/NN/dobj	189
by/IN/prep world/NN/pobj	189
by/IN/prep inhabitants/NNS/pobj	189
thing/NN/dobj	189
to/TO/prep humour/NN/pobj	189
without/IN/prep incurring/VBG/pcomp	187
as/IN/prep price/NN/pobj	186
with/IN/prep grounds/NNS/pobj	186
walk/NN/dobj	186
in/IN/prep middle/NN/pobj	186
on/IN/prep territory/NN/pobj	186
to/TO/prep jurisdiction/NN/pobj	186
for/IN/prep dialect/NN/pobj	185
valley/NN/dobj	185
tone/NN/dobj	185
north/NN/dobj	184
to/TO/prep inspiration/NN/pobj	184
except/IN/prep works/NNS/pobj	184
on/IN/prep pursuit/NN/pobj	184
to/TO/prep investigations/NNS/pobj	184
as/IN/prep part/NN/pobj	184
source/NN/dobj	184
dress/NN/dobj	184
for/IN/prep indemnity/NN/pobj	184
in/IN/prep response/NN/pobj	182
for/IN/prep period/NN/pobj	182
to/TO/prep indolence/NN/pobj	182
war/NN/dobj	182
bag/NN/dobj	182
neutrality/NN/dobj	182
to/TO/prep others/NNS/pobj	181
question/NN/dobj	181
on/IN/prep assault/NN/pobj	181
with/IN/prep hearts/NNS/pobj	181
wish/NN/dobj	181
strength/NN/dobj	180
for/IN/prep strength/NN/pobj	180
without/IN/prep contradicting/VBG/pcomp	180
without/IN/prep sinning/VBG/pcomp	180
to/TO/prep depths/NNS/pobj	179
in/IN/prep battles/NNS/pobj	179
on/IN/prep advice/NN/pobj	179
article/NN/dobj	178
on/IN/prep roads/NNS/pobj	178
being/NN/dobj	178
to/TO/prep necessity/NN/pobj	178
to/TO/prep spaniards/NNPS/pobj	178
without/IN/prep struggle/NN/pobj	177
at/IN/prep whatever/WDT/pobj	176
leadership/NN/dobj	176
by/IN/prep end/NN/pobj	176
function/NN/dobj	176
